Hidden_Dim=64, Num_Layers=1, Optimizer=SGD, Best_Test_Acc=42.38%
Hidden_Dim=64, Num_Layers=1, Optimizer=SGD Momentum, Best_Test_Acc=50.78%
Hidden_Dim=64, Num_Layers=1, Optimizer=Adam, Best_Test_Acc=50.81%
Hidden_Dim=64, Num_Layers=2, Optimizer=SGD, Best_Test_Acc=37.67%
Hidden_Dim=64, Num_Layers=2, Optimizer=SGD Momentum, Best_Test_Acc=51.21%
Hidden_Dim=64, Num_Layers=2, Optimizer=Adam, Best_Test_Acc=52.10%
Hidden_Dim=64, Num_Layers=3, Optimizer=SGD, Best_Test_Acc=28.08%
Hidden_Dim=64, Num_Layers=3, Optimizer=SGD Momentum, Best_Test_Acc=50.39%
Hidden_Dim=64, Num_Layers=3, Optimizer=Adam, Best_Test_Acc=51.63%
Hidden_Dim=128, Num_Layers=1, Optimizer=SGD, Best_Test_Acc=43.02%
Hidden_Dim=128, Num_Layers=1, Optimizer=SGD Momentum, Best_Test_Acc=52.55%
Hidden_Dim=128, Num_Layers=1, Optimizer=Adam, Best_Test_Acc=52.00%
Hidden_Dim=128, Num_Layers=2, Optimizer=SGD, Best_Test_Acc=37.62%
Hidden_Dim=128, Num_Layers=2, Optimizer=SGD Momentum, Best_Test_Acc=52.26%
Hidden_Dim=128, Num_Layers=2, Optimizer=Adam, Best_Test_Acc=53.03%
Hidden_Dim=128, Num_Layers=3, Optimizer=SGD, Best_Test_Acc=29.99%
Hidden_Dim=128, Num_Layers=3, Optimizer=SGD Momentum, Best_Test_Acc=51.88%
Hidden_Dim=128, Num_Layers=3, Optimizer=Adam, Best_Test_Acc=53.01%
Hidden_Dim=256, Num_Layers=1, Optimizer=SGD, Best_Test_Acc=43.51%
Hidden_Dim=256, Num_Layers=1, Optimizer=SGD Momentum, Best_Test_Acc=53.18%
Hidden_Dim=256, Num_Layers=1, Optimizer=Adam, Best_Test_Acc=53.22%
Hidden_Dim=256, Num_Layers=2, Optimizer=SGD, Best_Test_Acc=37.22%
Hidden_Dim=256, Num_Layers=2, Optimizer=SGD Momentum, Best_Test_Acc=53.48%
Hidden_Dim=256, Num_Layers=2, Optimizer=Adam, Best_Test_Acc=54.38%
Hidden_Dim=256, Num_Layers=3, Optimizer=SGD, Best_Test_Acc=29.84%
Hidden_Dim=256, Num_Layers=3, Optimizer=SGD Momentum, Best_Test_Acc=53.16%
Hidden_Dim=256, Num_Layers=3, Optimizer=Adam, Best_Test_Acc=54.58%
Hidden_Dim=512, Num_Layers=1, Optimizer=SGD, Best_Test_Acc=43.98%
Hidden_Dim=512, Num_Layers=1, Optimizer=SGD Momentum, Best_Test_Acc=54.15%
Hidden_Dim=512, Num_Layers=1, Optimizer=Adam, Best_Test_Acc=54.24%
Hidden_Dim=512, Num_Layers=2, Optimizer=SGD, Best_Test_Acc=38.47%
Hidden_Dim=512, Num_Layers=2, Optimizer=SGD Momentum, Best_Test_Acc=54.44%
Hidden_Dim=512, Num_Layers=2, Optimizer=Adam, Best_Test_Acc=57.01%
Hidden_Dim=512, Num_Layers=3, Optimizer=SGD, Best_Test_Acc=31.42%
Hidden_Dim=512, Num_Layers=3, Optimizer=SGD Momentum, Best_Test_Acc=53.84%
Hidden_Dim=512, Num_Layers=3, Optimizer=Adam, Best_Test_Acc=55.28%
